run_id,paper_experiment,model_scale,model_name,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,dion_rank_fraction,width_multiplier,ffn_hidden_dim,metric,bucket,site,value,err_low,err_high,n_layers_used,final_samples,final_steps,aggregation,frequency_bucket_reduction
160m_dion_r1_16_4x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,4,3072,hard_rank,global,post,558.2,394.6112058113671,721.788794188633,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_16_5x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,5,3840,soft_rank,global,post,1688.4143690423125,1289.0245420034382,2087.804196081187,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_16_5x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,5,3840,hard_rank,global,post,585.7,369.18599243998796,802.2140075600121,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_16_6x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,6,4608,soft_rank,global,post,1899.0565624988953,1459.6469082174883,2338.4662167803026,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_16_6x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,6,4608,hard_rank,global,post,638.6700000000001,438.20416637363087,839.1358336263693,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_16_7x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,7,5376,soft_rank,global,post,2087.392827400504,1591.9598624368666,2582.825792364141,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_16_7x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,7,5376,hard_rank,global,post,660.575,422.4015710011703,898.7484289988298,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_16_8x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,8,6144,soft_rank,global,post,2328.850303230033,1805.918857907575,2851.781748552491,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_16_8x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,8,6144,hard_rank,global,post,693.355,481.0665970352282,905.6434029647719,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_muon_1x,main_160m_width_sweep,160m,GPT2-160M,Muon,muon,muon,Muon,,1,768,soft_rank,global,post,362.30623179073143,177.31869928308046,547.2937642983824,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
